"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","25-Jun-2018","       1247.85","       1257.15","       1278.80","       1254.00","       1269.70","       1272.45","       1271.05","    3865589","          4913363829.80","     137153","    2105988","         54.48"
"INFY","EQ","26-Jun-2018","       1272.45","       1269.00","       1283.90","       1266.25","       1280.05","       1277.85","       1277.24","    2241752","          2863258907.05","     102746","    1303651","         58.15"
"INFY","EQ","27-Jun-2018","       1277.85","       1283.95","       1293.45","       1265.60","       1271.50","       1270.00","       1281.92","    3476071","          4456049392.90","     107138","    2254625","         64.86"
"INFY","EQ","28-Jun-2018","       1270.00","       1276.30","       1298.00","       1276.25","       1284.30","       1289.60","       1290.08","    5498409","          7093380058.90","     159341","    2847254","         51.78"
"INFY","EQ","29-Jun-2018","       1289.60","       1298.05","       1315.00","       1283.25","       1310.65","       1307.20","       1298.31","    4983300","          6469891050.00","     164216","    3050563","         61.22"
"INFY","EQ","02-Jul-2018","       1307.20","       1314.00","       1340.00","       1314.00","       1337.80","       1334.70","       1325.09","    2415072","          3200195813.50","      80512","    1157363","         47.92"
"INFY","EQ","03-Jul-2018","       1334.70","       1331.90","       1357.90","       1331.75","       1355.50","       1353.75","       1347.06","    4063726","          5474101848.85","     140810","    2374717","         58.44"
"INFY","EQ","04-Jul-2018","       1353.75","       1352.05","       1352.65","       1338.85","       1348.40","       1345.20","       1345.49","    2512861","          3381023804.65","     156409","    1610582","         64.09"
"INFY","EQ","05-Jul-2018","       1345.20","       1347.10","       1347.25","       1268.10","       1286.50","       1284.00","       1290.51","    8509951","         10982144288.60","     274864","    4498851","         52.87"
"INFY","EQ","06-Jul-2018","       1284.00","       1290.25","       1301.85","       1269.00","       1285.15","       1284.25","       1281.04","    5607678","          7183683022.00","     181138","    3185846","         56.81"
"INFY","EQ","09-Jul-2018","       1284.25","       1297.00","       1303.00","       1279.05","       1301.20","       1298.85","       1294.01","    3322499","          4299340435.35","      95341","    1941581","         58.44"
"INFY","EQ","10-Jul-2018","       1298.85","       1308.50","       1315.45","       1294.30","       1299.10","       1301.40","       1305.09","    2987244","          3898613178.15","     109336","    1551472","         51.94"
"INFY","EQ","11-Jul-2018","       1301.40","       1317.55","       1342.10","       1291.35","       1319.00","       1320.45","       1317.22","    5949916","          7837362262.05","     131426","    2520702","         42.37"
